id,module,name,kind,display_name,display_category,food_type,item_type,tags,nutrition_source,calories,carbohydrates,lipids,proteins,hunger_change,thirst_change,days_fresh,days_totally_rotten,cant_be_frozen,is_cookable,minutes_to_cook,minutes_to_burn,dangerous_uncooked,packaged,canned_food,cant_eat,spice,good_hot,bad_cold,unhappy_change,boredom_change,stress_change,fatigue_change,endurance_change,food_sickness_change,poison_power,alcohol_power,evolved_recipe,evolved_recipe_name,replace_on_cooked,replace_on_rotten,replace_on_use,on_cooked,on_eat,fluid_capacity,fluid_ids,weight,replace_on_deplete,source_file,source_line
Base.Baguette,Base,Baguette,food,Baguette,Food,Bread,base:food,base:alreadycooked;base:hidecooked,food_keys,532.0,99.0,6.66,17.7,-23.0,,3,6,,true,0,30,,,,,,,,,,,,,,,,Soup:5;Stew:5;Salad:5;AddBaitToChum:10,Bread,,,,,,,,0.3,,items/food.txt,2055
Base.BaguetteDough,Base,BaguetteDough,food,Baguette,Food,,base:food,,food_keys,532.0,99.0,6.66,17.7,-15.0,15.0,3,6,,true,20,,,,,,,,,10,,,,,,,,AddBaitToChum:10,,Base.Baguette,,,,,,,0.3,,items/food.txt,2807
Base.BaguetteSandwich,Base,BaguetteSandwich,food,Sandwich,Food,,base:food,base:hideuncooked;base:grilled,food_keys,360.0,42.0,8.5,5.8,-10.0,,3,6,,true,5,20,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,items/food.txt,5624
Base.BaitFish,Base,BaitFish,food,Little Bait Fish,Food,,base:food,,food_keys,30.0,0.0,1.5,8.52,-3.0,,4,8,,true,20,60,true,,,,,true,true,20,,,,,,,,AddBaitToChum:5,,,,,,,,,0.1,,items/food.txt,6779
Base.BakingSoda,Base,BakingSoda,drainable,Baking Soda,Cooking,,base:drainable,,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,items/drainable.txt,836
Base.BakingTray_Muffin,Base,BakingTray_Muffin,food,Plain Muffins,Food,,base:food,base:hasmetal,food_keys,520.0,50.45,52.61,54.53,-30.0,,3,10,,true,30,60,,,,true,,true,true,,,,,,,,,,,,,Base.MuffinTray,,,,,1.5,,items/food.txt,2832
Base.BakingTray_Muffin_Recipe,Base,BakingTray_Muffin_Recipe,food,Plain Muffins,Food,,base:food,base:hasmetal,food_keys,520.0,50.45,52.61,54.53,-30.0,,3,10,,true,30,60,,,,true,,true,true,,,,,,,,,,,,,Base.MuffinTray,,,,,1.5,,items/food.txt,2857
Base.Baloney,Base,Baloney,food,Baloney,Food,Sausage,base:food,,food_keys,200.0,2.0,6.35,22.65,-30.0,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,items/food.txt,9190
Base.BaloneySlice,Base,BaloneySlice,food,Baloney Slices,Food,Sausage,base:food,base:hideuncooked,food_keys,33.0,0.33,1.06,3.78,-5.0,,2,4,,true,5,20,,,,,,true,,,,,,,,,,Pizza:5;Stew:5;Stir fry:5;Sandwich:5;Pasta:5;Rice:5;Burger:5,Baloney,,,,,,,,0.04,,items/food.txt,9209
Base.BalsamicVinegar,Base,BalsamicVinegar,food,Balsamic Vinegar,Food,NoExplicit,base:food,,food_keys,1250.0,300.0,0.0,0.0,-20.0,,,,true,,,,,true,,,true,,,50,,,,,,,,Sandwich:2;Burger:2;Rice:2;Pasta:2;Stir fry:2;Salad:2;Taco:2;Burrito:2,,,,,,,,,0.2,,items/food.txt,11599
Base.Banana,Base,Banana,food,Banana,Food,Fruits,base:food,,food_keys,105.0,26.95,0.39,1.29,-16.0,-5.0,5,7,,,,,,,,,,,,,,,,,,,,Bread:16;Cake:16;FruitSalad:8;Pancakes:8;Muffin:8;ConeIcecream:4;PieSweet:16;Oatmeal:4;Sandwich:8,,,,,,,,,0.2,,items/food.txt,8679
Base.BandedWoolyBearCaterpillar,Base,BandedWoolyBearCaterpillar,food,Caterpillar,Food,Insect,base:food,base:nocookingxp,food_keys,27.0,3.0,20.24,27.55,-1.0,,14,21,,true,5,25,,,,,,,,20,,,,,,,,AddBaitToChum:1,,,,,,,,,0.1,,items/food.txt,8138
Base.BarleySeed,Base,BarleySeed,food,Barley Seeds,Gardening,,base:food,base:isseed,food_keys,,,,,-5.0,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,0.02,,items/food.txt,1889
Base.BarleySheaf,Base,BarleySheaf,food,Barley Sheaf,Food,,base:food,,food_keys,,,,,-5.0,,7,14,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,1.0,,items/food.txt,305
Base.BarleySheafDried,Base,BarleySheafDried,food,Barley Sheaf (Dried),Food,,base:food,,food_keys,,,,,-5.0,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,1.0,,items/food.txt,319
Base.Basil,Base,Basil,food,Basil,Food,Herb,base:food,base:iscutting;base:isseed,food_keys,0.1,0.0,0.0,0.0,-1.0,,6,10,,,,,,,,,true,,,,,,,,,,,Stir fry:1;Pizza:1;Omelette:1;Pasta:1;Rice:1;Sandwich:1;Salad:1;Soup:1;Stew:1;Bread:1;Burger:1;Hotdog:1,,,,,,,,,0.1,,items/food.txt,13507
Base.BasilDried,Base,BasilDried,food,Basil (Dried),Food,Herb,base:food,,food_keys,0.1,0.0,0.0,0.0,-5.0,,,,,,,,,,,,true,,,,,,,,,,,Stir fry:1;Pizza:1;Omelette:1;Pasta:1;RicePan:1;Rice:1;Sandwich:1;Salad:1;Soup:1;Stew:1;Bread:1;Burger:1,Basil,,,,,,,,0.1,,items/food.txt,13528
Base.BathTowel,Base,BathTowel,drainable,Bath Towel,Household,,base:drainable,base:cleanstains;base:spawnfullunlesslaundry,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Base.BathTowelWet,items/drainable.txt,2187
Base.Battery,Base,Battery,drainable,Battery,Electronics,,base:drainable,base:hasmetal,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,items/drainable.txt,673
Base.BeanBowl,Base,BeanBowl,food,Bowl of Beans,Food,Bean,base:food,base:dontinheritcondition,food_keys,170.0,33.0,1.0,7.0,-24.0,,2,4,,true,20,40,,,,,,true,,10,,,,,,,,Omelette:8;Soup:24;Stew:24;Rice:24;Sandwich:8;Toast:8;Salad:8,Bean,,,Base.Bowl,,,,,1.5,,items/food.txt,10848
Base.BeautyBerry,Base,BeautyBerry,food,Berries,Food,Berry,base:food,,food_keys,23.0,5.0,0.0,4.0,-10.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:10;FruitSalad:10;Pancakes:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5,,,,,,,,,0.1,,items/food.txt,7725
Base.Beef,Base,Beef,food,Beef,Food,Beef,base:food,,food_keys,440.0,0.0,18.7,62.62,-80.0,,2,4,,true,50,70,true,,,,,true,true,,,,,,,,,Pizza:20;Stew:20;Stir fry:20;Sandwich:5|Cooked;Salad:10|Cooked;Pasta:20;Rice:20;Taco:5|Cooked;Burrito:10|Cooked;AddBaitToChum:20,,,,,,,,,0.5,,items/food.txt,9746
Base.BeefJerky,Base,BeefJerky,food,Beef Jerky,Food,Beef,base:food,,food_keys,410.0,11.0,26.0,33.0,-20.0,,,,,,,,,true,,,,,,,,,,,,,,Stew:10;Pie:10;Stir fry:10;Sandwich:5;Salad:5;Rice:10;Pasta:10,,,,,,,,,0.2,,items/food.txt,12691
Base.BeerBottle,Base,BeerBottle,fluid_container,Beer Bottle,Food,,base:normal,base:glass;base:glassbottlesmall,fluid:Beer,500.0,36.0,0.0,4.0,-10.0,-20.0,,,,,,,,,,,,,,-10,,0,0.0,0.0,0,,,,,,,,,,0.3,Beer,0.4,,items/normal.txt,6061
Base.BeerCan,Base,BeerCan,fluid_container,Beer Can,Food,,base:normal,base:cookable;base:lowalcohol;base:hasmetal;base:emptycan;base:sealedbeveragecan,fluid:Beer,500.0,36.0,0.0,4.0,-10.0,-20.0,,,,,,,,true,,,,,,-10,,0,0.0,0.0,0,,,,,,,,,,0.3,Beer,0.3,,items/normal.txt,6094
Base.BeerCanEmpty,Base,BeerCanEmpty,fluid_container,Beer Can,WaterContainer,,base:normal,base:cookable;base:hasmetal;base:emptycan,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.1,,items/normal.txt,7378
Base.BeerEmpty,Base,BeerEmpty,fluid_container,Beer Bottle,WaterContainer,,base:normal,base:glass;base:glassbottlesmall,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.1,,items/normal.txt,7407
Base.BeerImported,Base,BeerImported,fluid_container,Imported Beer,Food,,base:normal,base:glass;base:glassbottle,fluid:Beer,500.0,36.0,0.0,4.0,-10.0,-20.0,,,,,,,,true,,,,,,-10,,0,0.0,0.0,0,,,,,,,,,,0.3,Beer,0.4,,items/normal.txt,6127
Base.BellPepper,Base,BellPepper,food,Bell Pepper,Food,Vegetables,base:food,base:hideuncooked,food_keys,30.0,7.0,0.0,1.0,-8.0,-2.0,5,8,,true,10,30,,,,,,true,,,,,,,,,,Pizza:8;Omelette:4;Soup:8;Stew:8;Pie:8;Stir fry:8;Sandwich:2;Burger:2;Hotdog:2;Salad:4;Rice:8;Pasta:8;Taco:2;Burrito:4,Pepper,,,,,,,,0.2,,items/food.txt,14051
Base.BerryBlack,Base,BerryBlack,food,Berries,Food,Berry,base:food,,food_keys,23.0,5.0,0.0,4.0,-10.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:10;FruitSalad:10;Pancakes:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5,Berry,,,,,,,,0.1,,items/food.txt,9000
Base.BerryBlue,Base,BerryBlue,food,Berries,Food,Berry,base:food,,food_keys,23.0,5.0,0.0,4.0,-10.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:10;FruitSalad:10;Pancakes:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5,Berry,,,,,,,,0.1,,items/food.txt,9023
Base.BerryGeneric1,Base,BerryGeneric1,food,Berries,Food,Berry,base:food,,food_keys,12.0,3.0,0.0,2.0,-5.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:5;FruitSalad:5;Pancakes:5;Muffin:5;ConeIcecream:5;PieSweet:5;Oatmeal:5,Berry,,,,,RecipeCodeOnEat.consumeWildFoodGeneric,,,0.1,,items/food.txt,9046
Base.BerryGeneric2,Base,BerryGeneric2,food,Berries,Food,Berry,base:food,,food_keys,23.0,5.0,0.0,4.0,-10.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:10;FruitSalad:10;Pancakes:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5,Berry,,,,,RecipeCodeOnEat.consumeWildFoodGeneric,,,0.1,,items/food.txt,9070
Base.BerryGeneric3,Base,BerryGeneric3,food,Berries,Food,Berry,base:food,,food_keys,8.0,3.0,0.0,2.0,-5.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:5;FruitSalad:5;Pancakes:5;Muffin:5;ConeIcecream:5;PieSweet:5;Oatmeal:5,Berry,,,,,RecipeCodeOnEat.consumeWildFoodGeneric,,,0.1,,items/food.txt,9094
Base.BerryGeneric4,Base,BerryGeneric4,food,Berries,Food,Berry,base:food,,food_keys,23.0,5.0,0.0,4.0,-10.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:10;FruitSalad:10;Pancakes:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5,Berry,,,,,RecipeCodeOnEat.consumeWildFoodGeneric,,,0.1,,items/food.txt,9118
Base.BerryGeneric5,Base,BerryGeneric5,food,Berries,Food,Berry,base:food,,food_keys,23.0,5.0,0.0,4.0,-10.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:10;FruitSalad:10;Pancakes:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5,Berry,,,,,RecipeCodeOnEat.consumeWildFoodGeneric,,,0.1,,items/food.txt,9142
Base.BerryPoisonIvy,Base,BerryPoisonIvy,food,Berries,Food,Berry,base:food,,food_keys,23.0,5.0,0.0,4.0,-5.0,-1.0,6,10,,,,,,,,,,,,,,,,,,,,Cake:5;FruitSalad:5;Pancakes:5;Muffin:5;ConeIcecream:5;PieSweet:5;Oatmeal:5,Berry,,,,,RecipeCodeOnEat.consumeWildFoodGeneric,,,0.1,,items/food.txt,9166
Base.Biscuit,Base,Biscuit,food,Biscuit,Food,NoExplicit,base:food,base:fitstoaster,food_keys,160.0,22.0,8.0,1.0,-5.0,,3,5,,,,,,,,,,,,,,,,,,,,Soup:5;Stew:5,,,,,,,,,0.1,,items/food.txt,2081
Base.BlackCrappie,Base,BlackCrappie,food,Black Crappie,Food,,base:food,base:fishmeat;base:uncutfish,food_keys,159.0,1.0,1.0,35.0,-15.0,,4,8,,true,20,60,true,,,,,true,true,20,,,,,,,,,,,,,,,,,0.4,,items/food.txt,7260
Base.BlackSage,Base,BlackSage,food,Black Sage,FirstAid,Herb,base:food,base:herbaltea,food_keys,0.1,0.0,0.0,0.0,-1.0,,6,10,,,,,,,,,true,,,,,,,,,,,HotDrink:1,,,,,,,,,0.1,,items/food.txt,7960
Base.BlackSageDried,Base,BlackSageDried,food,Black Sage (Dried),FirstAid,Herb,base:food,base:herbaltea,food_keys,0.1,0.0,0.0,0.0,-1.0,,,,,,,,,,,,true,,,,,,,,,,,HotDrink:1,,,,,,,,,0.1,,items/food.txt,7983
Base.Blackbeans,Base,Blackbeans,food,Black Beans,Food,Bean,base:food,,food_keys,45.0,10.45,0.45,3.95,-10.0,,3,5,,,,,,,,,,,,,,,,,,,,Soup:10;Stew:10;Stir fry:10;Rice:10;Burrito:10;Taco:5;Salad:5,Black Bean,,,,,,,,0.1,,items/food.txt,14078
Base.Bleach,Base,Bleach,fluid_container,Bleach,Household,,base:normal,,fluid:Bleach,,,,,,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bleach,0.2,,items/normal.txt,3541
Base.BlowTorch,Base,BlowTorch,drainable,Welding Torch,Tool,,base:drainable,,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,items/drainable.txt,1562
Base.BlueCatfish,Base,BlueCatfish,food,Blue Catfish,Food,,base:food,base:fishmeat;base:uncutfish,food_keys,159.0,1.0,1.0,35.0,-15.0,,4,8,,true,20,60,true,,,,,true,true,20,,,,,,,,,,,,,,,,,0.4,,items/food.txt,7410
Base.Bluegill,Base,Bluegill,food,Bluegill,Food,,base:food,base:fishmeat;base:uncutfish,food_keys,159.0,1.0,1.0,35.0,-15.0,,4,8,,true,20,60,true,,,,,true,true,20,,,,,,,,,,,,,,,,,0.4,,items/food.txt,7320
Base.BottleCrafted,Base,BottleCrafted,fluid_container,Bottle,WaterContainer,,base:normal,base:glass;base:glassbottle,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.1,,items/normal.txt,7225
Base.BouillonCube,Base,BouillonCube,food,Bouillon Cube,Food,Stock,base:food,base:driedfood;base:herbaltea,food_keys,16.0,2.3,0.5,0.6,-3.0,5.0,,,,,,,,,,,true,,,,,,,,,,,Soup:3;Stew:3;HotDrink:1,Bouillon,,,,,,,,0.1,,items/food.txt,5052
Base.Bowl,Base,Bowl,fluid_container,Bowl,Cooking,,base:normal,base:bowl;base:dontinheritcondition,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.5,,items/normal.txt,3763
Base.Brandy,Base,Brandy,fluid_container,Brandy,Food,,base:normal,base:glass;base:glassbottle,fluid:Brandy,2000.0,0.0,0.0,0.0,-20.0,-20.0,,,,,,,,,,,,,,-10,,0,0.0,0.0,0,,,,,,,,,,1.0,Brandy,0.5,,items/normal.txt,6161
Base.Bread,Base,Bread,food,Bread,Food,Bread,base:food,,food_keys,532.0,99.0,6.66,17.7,-30.0,,3,6,,,,,,true,,,,,,,,,,,,,,Soup:5;Stew:5;Salad:5;AddBaitToChum:10,,,,,,,,,0.3,,items/food.txt,2102
Base.BreadDough,Base,BreadDough,food,Bread,Food,,base:food,,food_keys,532.0,99.0,6.66,17.7,-24.0,15.0,3,6,,true,20,50,,,,,,,,10,,,,,,,,AddBaitToChum:10,,,,,,,,,0.3,,items/food.txt,2882
Base.BreadSlices,Base,BreadSlices,food,Bread Slices,Food,Bread,base:food,base:hidecooked;base:fitstoaster,food_keys,177.0,33.0,2.22,5.9,-10.0,,3,6,,true,4,,,,,,,,,,,,,,,,,Soup:5;Stew:5;Salad:5,Bread,Base.Toast,,,,,,,0.1,,items/food.txt,2123
Base.Broccoli,Base,Broccoli,food,Broccoli,Food,Vegetables,base:food,base:hideuncooked,food_keys,11.0,2.0,0.1,0.9,-9.0,-4.0,4,6,,true,10,30,,,,,,true,,,,,,,,,,Pizza:9;Omelette:9;Soup:9;Stew:9;Pie:9;Stir fry:9;Salad:9;Rice:9;Pasta:9,,,,,,,,,0.2,,items/food.txt,14098
Base.BrusselSprouts,Base,BrusselSprouts,food,Brussels Sprouts,Food,Vegetables,base:food,,food_keys,119.0,20.45,0.85,7.95,-20.0,-5.0,3,5,,true,10,30,,,,,,true,,10,,,,,,,,Stir fry:9;Pie:9;Salad:9|Cooked,,,,,,,,,0.6,,items/food.txt,14124
Base.Bucket,Base,Bucket,fluid_container,Bucket,WaterContainer,,base:normal,base:bucket;base:cookable;base:hasmetal;base:metalbucket,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,1.0,,items/normal.txt,13864
Base.BucketCarved,Base,BucketCarved,fluid_container,Carved Bucket,WaterContainer,,base:normal,base:bucket;base:isfirefuel,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,2.0,,items/normal.txt,13915
Base.BucketCarvedClayCement,Base,BucketCarvedClayCement,drainable,Carved Bucket of Clay Cement,Material,,base:drainable,base:concrete,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Base.BucketCarved,items/drainable.txt,411
Base.BucketCarvedConcreteFull,Base,BucketCarvedConcreteFull,drainable,Carved Bucket of Concrete,Material,,base:drainable,base:concrete,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Base.BucketCarved,items/drainable.txt,427
Base.BucketCarvedPlasterFull,Base,BucketCarvedPlasterFull,drainable,Carved Bucket of Plaster,Material,,base:drainable,base:wallpaperpaste;base:plasterbucket,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Base.BucketCarved,items/drainable.txt,458
Base.BucketCarvedWallpaperPaste,Base,BucketCarvedWallpaperPaste,drainable,Carved Bucket of Wallpaper Paste,Material,,base:drainable,base:wallpaperpaste,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Base.BucketCarved,items/drainable.txt,560
Base.BucketClayCement,Base,BucketClayCement,drainable,Bucket of Clay Cement,Material,,base:drainable,base:hasmetal;base:concrete,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Base.Bucket,items/drainable.txt,379
Base.BucketConcreteFull,Base,BucketConcreteFull,drainable,Bucket of Concrete,Material,,base:drainable,base:hasmetal;base:concrete,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Base.Bucket,items/drainable.txt,395
Base.BucketEmpty,Base,BucketEmpty,fluid_container,Bucket,WaterContainer,,base:normal,base:bucket;base:cookable;base:hasmetal;base:metalbucket,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,1.0,,items/normal.txt,13225
Base.BucketForged,Base,BucketForged,fluid_container,Bucket,WaterContainer,,base:normal,base:bucket;base:hasmetal;base:metalbucket;base:cookable,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,1.0,,items/normal.txt,13941
