name,module,category,time,timedAction,tags,skillRequired,xpAward,needToBeLearn,autoLearnAll,autoLearnAny,allowBatchCraft,metaRecipe,onCreate,tooltip,inputTypes,inputTags,inputFluids,inputCount,outputTypes,itemMappers,fluidIO,split,datasetTypes,foodItemTypes,deltaCalories,deltaCarbohydrates,deltaLipids,deltaProteins,deltaHungerChange,deltaThirstChange,deltaAbsentMacros,deltaReason,inputsRaw,outputsRaw,sourceFile,sourceLine
AssembleLargeTarpFramepack,Base,Tailoring,200,SewingCloth,AnySurfaceCraft,Tailoring:5,Tailoring:55,true,,,false,base:assemblelargeframepack,,,Base.DenimStrips;Base.DuctTape;Base.LeatherStrips;Base.RippedSheets;Base.Rope;Base.Tarp;Base.Twine;Base.WoodenStick2,base:scissors;base:sewingneedle;base:sharpknife;base:thread,,7,Base.Bag_TarpFramepack_Large,,false,false,Base.DuctTape;Base.Twine,Base.DuctTape;Base.Twine,,,,,,,,not-in-dataset: item 1 [Base.Tarp] ; tags-only: item 4 tags[base:thread] ; no-nutrition: item 4 [Base.DuctTape] ; multi-type: item 3 [Base.Twine;Base.RippedSheets;Base.DenimStrips;Base.LeatherStrips;5:Base.DuctTape;2:Base.Rope] flags[DontReplace] ; not-in-dataset: item 5 [Base.WoodenStick2] ; not-in-dataset: item 1 Base.Bag_TarpFramepack_Large,item 1 tags[base:scissors;base:sharpknife] mode:keep flags[IsNotDull;MayDegradeLight] | item 1 tags[base:sewingneedle] mode:keep flags[MayDegradeLight] | item 1 [Base.Tarp] | item 4 tags[base:thread] | item 4 [Base.DuctTape] | item 3 [Base.Twine;Base.RippedSheets;Base.DenimStrips;Base.LeatherStrips;5:Base.DuctTape;2:Base.Rope] flags[DontReplace] | item 5 [Base.WoodenStick2],item 1 Base.Bag_TarpFramepack_Large,recipes/recipes_tailoring_garbageTapeAndTarp.txt,610
AssembleLongImplement,Base,Assembly,100,ChoppingBlock_Hammer,AnySurfaceCraft,Maintenance:1,Maintenance:1,,,,,,,,Base.FireAxeHead;Base.LongHandle;Base.OldAxeHead;Base.PickAxeHead;Base.SledgehammerHead;Base.WoodAxeHead,base:clubhammer;base:hammer;base:mallet;base:sharpknife,,4,Base.Axe;Base.Axe_Old;Base.PickAxeForged;Base.SledgehammerForged;Base.WoodAxeForged,ThingMapper,false,false,,,,,,,,,,multi-type: item 1 [Base.OldAxeHead;Base.PickAxeHead;Base.SledgehammerHead;Base.WoodAxeHead;Base.FireAxeHead] flags[IsHeadPart;InheritSharpness] mappers[ThingMapper] ; not-in-dataset: item 1 [Base.LongHandle] flags[Prop2;InheritCondition] ; multi-type: item 1 mapper:ThingMapper,item 1 tags[base:hammer;base:clubhammer;base:mallet] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:sharpknife] mode:keep flags[SharpnessCheck;IsNotDull] | item 1 [Base.OldAxeHead;Base.PickAxeHead;Base.SledgehammerHead;Base.WoodAxeHead;Base.FireAxeHead] flags[IsHeadPart;InheritSharpness] mappers[ThingMapper] | item 1 [Base.LongHandle] flags[Prop2;InheritCondition],item 1 mapper:ThingMapper,recipes/recipes_assembly.txt,39
AssembleLongerImplement,Base,Assembly,100,ChoppingBlock_Hammer,AnySurfaceCraft,Maintenance:1,Maintenance:1,,,,,,,,Base.GardenForkHead;Base.GardenForkHead_Forged;Base.GardenHoeHead;Base.LongStick;Base.RakeHead;Base.ScytheBlade;Base.SpadeHead;Base.SpadeHead_Forged,base:clubhammer;base:hammer;base:mallet;base:sharpknife,,4,Base.GardenFork_Forged;Base.GardenHoeForged;Base.Rake;Base.ScytheForged;Base.Shovel;Base.SpadeForged,ThingMapper,false,false,,,,,,,,,,multi-type: item 1 [Base.GardenHoeHead;Base.RakeHead;Base.ScytheBlade;Base.SpadeHead;Base.SpadeHead_Forged;Base.GardenForkHead;Base.GardenForkHead_Forged] flags[IsHeadPart;InheritSharpness] mappers[ThingMapper] ; not-in-dataset: item 1 [Base.LongStick] flags[Prop2;InheritCondition] ; multi-type: item 1 mapper:ThingMapper,item 1 tags[base:hammer;base:clubhammer;base:mallet] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:sharpknife] mode:keep flags[SharpnessCheck;IsNotDull] | item 1 [Base.GardenHoeHead;Base.RakeHead;Base.ScytheBlade;Base.SpadeHead;Base.SpadeHead_Forged;Base.GardenForkHead;Base.GardenForkHead_Forged] flags[IsHeadPart;InheritSharpness] mappers[ThingMapper] | item 1 [Base.LongStick] flags[Prop2;InheritCondition],item 1 mapper:ThingMapper,recipes/recipes_assembly.txt,69
AssembleMace,Base,Assembly,100,ChoppingBlock_Hammer,AnySurfaceCraft,Maintenance:1,,,,,,,,,Base.LongHandle;Base.MaceHead;Base.ShortBat,base:clubhammer;base:hammer;base:mallet;base:sharpknife,,4,Base.LongMace;Base.Mace,HandleMapper,false,false,,,,,,,,,,not-in-dataset: item 1 [Base.MaceHead] flags[IsHeadPart] ; multi-type: item 1 [Base.ShortBat;Base.LongHandle] mappers[HandleMapper] flags[Prop2;InheritCondition] ; multi-type: item 1 mapper:HandleMapper,item 1 tags[base:hammer;base:clubhammer;base:mallet] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:sharpknife] mode:keep flags[SharpnessCheck;IsNotDull] | item 1 [Base.MaceHead] flags[IsHeadPart] | item 1 [Base.ShortBat;Base.LongHandle] mappers[HandleMapper] flags[Prop2;InheritCondition],item 1 mapper:HandleMapper,recipes/recipes_assembly.txt,101
AssembleShortImplement,Base,Assembly,100,ChoppingBlock_Hammer,AnySurfaceCraft,Maintenance:1,Maintenance:1,,,,,,,,Base.BallPeenHammerHead;Base.ClawhammerHead;Base.ClubHammerHead;Base.HandAxeHead;Base.Handle;Base.OldAxeHead;Base.SmithingHammerHead,base:clubhammer;base:hammer;base:mallet;base:sharpknife,,4,Base.BallPeenHammerForged;Base.ClubHammerForged;Base.HammerForged;Base.HandAxeForged;Base.HandAxe_Old;Base.SmithingHammer,ThingMapper,false,false,,,,,,,,,,multi-type: item 1 [Base.BallPeenHammerHead;Base.ClawhammerHead;Base.ClubHammerHead;Base.HandAxeHead;Base.OldAxeHead;Base.SmithingHammerHead] flags[IsHeadPart;InheritSharpness] mappers[ThingMapper] ; not-in-dataset: item 1 [Base.Handle] flags[Prop2;InheritCondition] ; multi-type: item 1 mapper:ThingMapper,item 1 tags[base:hammer;base:clubhammer;base:mallet] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:sharpknife] mode:keep flags[SharpnessCheck;IsNotDull] | item 1 [Base.BallPeenHammerHead;Base.ClawhammerHead;Base.ClubHammerHead;Base.HandAxeHead;Base.OldAxeHead;Base.SmithingHammerHead] flags[IsHeadPart;InheritSharpness] mappers[ThingMapper] | item 1 [Base.Handle] flags[Prop2;InheritCondition],item 1 mapper:ThingMapper,recipes/recipes_assembly.txt,153
AssembleSmallFramepack,Base,Tailoring,200,SewingCloth,AnySurfaceCraft,Tailoring:5,Tailoring:55,true,,,false,,,,Base.Bag_CrudeLeatherBag;Base.Bag_CrudeTarpBag;Base.DenimStrips;Base.DuctTape;Base.LeatherStrips;Base.RippedSheets;Base.Rope;Base.TreeBranch2;Base.Twine;Base.WoodenStick2,,,3,Base.Bag_TarpFramepack_Small,BagMapper,false,false,Base.DuctTape;Base.Twine,Base.DuctTape;Base.Twine,,,,,,,,multi-type: item 2 [Base.Twine;Base.RippedSheets;Base.DenimStrips;Base.LeatherStrips;3:Base.DuctTape;1:Base.Rope] flags[DontReplace] ; multi-type: item 4 [Base.WoodenStick2;Base.TreeBranch2] ; multi-type: item 1 [Base.Bag_CrudeLeatherBag;Base.Bag_CrudeTarpBag] flags[IsEmpty] mappers[BagMapper] ; not-in-dataset: item 1 mapper:BagMapper,item 2 [Base.Twine;Base.RippedSheets;Base.DenimStrips;Base.LeatherStrips;3:Base.DuctTape;1:Base.Rope] flags[DontReplace] | item 4 [Base.WoodenStick2;Base.TreeBranch2] | item 1 [Base.Bag_CrudeLeatherBag;Base.Bag_CrudeTarpBag] flags[IsEmpty] mappers[BagMapper],item 1 mapper:BagMapper,recipes/recipes_tailoring_leatherAndHide.txt,481
AssembleSpear,Base,Weaponry,100,CraftKnifeSpear,AnySurfaceCraft,Maintenance:1,Maintenance:10,,,,,,,,Base.LongStick;Base.Sapling;Base.SpearHead;Base.SpearLongHead,base:clubhammer;base:hammer;base:mallet;base:sharpknife,,4,Base.SpearLong;Base.SpearShort,ThingMapper,false,false,,,,,,,,,,multi-type: item 1 [Base.SpearLongHead;Base.SpearHead] flags[IsHeadPart;InheritSharpness] mappers[ThingMapper] ; multi-type: item 1 [Base.LongStick;Base.Sapling] flags[Prop2;InheritCondition] ; multi-type: item 1 mapper:ThingMapper,item 1 tags[base:hammer;base:clubhammer;base:mallet] mode:keep flags[MayDegradeLight] | item 1 tags[base:sharpknife] mode:keep flags[Prop1;SharpnessCheck;IsNotDull] | item 1 [Base.SpearLongHead;Base.SpearHead] flags[IsHeadPart;InheritSharpness] mappers[ThingMapper] | item 1 [Base.LongStick;Base.Sapling] flags[Prop2;InheritCondition],item 1 mapper:ThingMapper,recipes/recipes_spears.txt,203
AssembleStoneMace,Base,Assembly,100,ChoppingBlock_Hammer,AnySurfaceCraft,Maintenance:1,,,,,,,,,Base.LongHandle;Base.ShortBat;Base.StoneMaceHead,base:clubhammer;base:hammer;base:mallet;base:sharpknife,,4,Base.LongMace_Stone;Base.Mace_Stone,HandleMapper,false,false,,,,,,,,,,not-in-dataset: item 1 [Base.StoneMaceHead] flags[IsHeadPart] ; multi-type: item 1 [Base.ShortBat;Base.LongHandle] mappers[HandleMapper] flags[Prop2;InheritCondition] ; multi-type: item 1 mapper:HandleMapper,item 1 tags[base:hammer;base:clubhammer;base:mallet] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:sharpknife] mode:keep flags[SharpnessCheck;IsNotDull] | item 1 [Base.StoneMaceHead] flags[IsHeadPart] | item 1 [Base.ShortBat;Base.LongHandle] mappers[HandleMapper] flags[Prop2;InheritCondition],item 1 mapper:HandleMapper,recipes/recipes_assembly.txt,127
Assemble_Articulated_Shin_Armor,Base,Armor,800,HammerMetalStanding,Forge,Blacksmith:8;Tailoring:4,Blacksmith:25;Tailoring:10,true,Blacksmith:9,,,,,,Base.Buckle;Base.LeatherStrips;Base.SmallSheetMetal,base:awl;base:ballpeenhammer;base:charcoal;base:heavythread;base:metalworkingpliers;base:sewingneedle;base:tongs,,9,Base.ShinKneeGuard_L_Metal,,false,false,,,,,,,,,,tags-only: item 7 tags[base:charcoal] ; not-in-dataset: item 3 [Base.SmallSheetMetal] ; not-in-dataset: item 2 [Base.LeatherStrips] mode:destroy ; not-in-dataset: item 2 [Base.Buckle] ; tags-only: item 1 tags[base:heavythread] ; not-in-dataset: item 1 Base.ShinKneeGuard_L_Metal,item 7 tags[base:charcoal] | item 3 [Base.SmallSheetMetal] | item 2 [Base.LeatherStrips] mode:destroy | item 2 [Base.Buckle] | item 1 tags[base:ballpeenhammer] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:metalworkingpliers;base:tongs] mode:keep flags[Prop2;MayDegradeLight] | item 1 tags[base:sewingneedle] mode:keep flags[MayDegradeLight] | item 1 tags[base:awl] mode:keep flags[MayDegradeLight] | item 1 tags[base:heavythread],item 1 Base.ShinKneeGuard_L_Metal,entities/blacksmith/craftRecipes/recipes_blacksmith_armor.txt,178
Assemble_Articulated_Thigh_Armor,Base,Armor,600,HammerMetalStanding,Forge,Blacksmith:8;Tailoring:4,Blacksmith:25;Tailoring:10,true,Blacksmith:9,,,,,,Base.Buckle;Base.LeatherStrips;Base.SmallSheetMetal,base:awl;base:ballpeenhammer;base:charcoal;base:heavythread;base:metalworkingpliers;base:sewingneedle;base:tongs,,9,Base.Thigh_ArticMetal_L,,false,false,,,,,,,,,,tags-only: item 5 tags[base:charcoal] ; not-in-dataset: item 2 [Base.SmallSheetMetal] ; not-in-dataset: item 2 [Base.LeatherStrips] mode:destroy ; not-in-dataset: item 2 [Base.Buckle] ; tags-only: item 1 tags[base:heavythread] ; not-in-dataset: item 1 Base.Thigh_ArticMetal_L,item 5 tags[base:charcoal] | item 2 [Base.SmallSheetMetal] | item 2 [Base.LeatherStrips] mode:destroy | item 2 [Base.Buckle] | item 1 tags[base:ballpeenhammer] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:metalworkingpliers;base:tongs] mode:keep flags[Prop2;MayDegradeLight] | item 1 tags[base:sewingneedle] mode:keep flags[MayDegradeLight] | item 1 tags[base:awl] mode:keep flags[MayDegradeLight] | item 1 tags[base:heavythread],item 1 Base.Thigh_ArticMetal_L,entities/blacksmith/craftRecipes/recipes_blacksmith_armor.txt,150
Assemble_Forearm_Armor,Base,Armor,400,HammerMetalStanding,Forge,Blacksmith:4;Tailoring:2,Blacksmith:10;Tailoring:10,true,Blacksmith:6,,,,,,Base.Buckle;Base.LeatherStrips;Base.SmallSheetMetal,base:awl;base:charcoal;base:heavythread;base:metalworkingpliers;base:sewingneedle;base:smithinghammer;base:tongs,,9,Base.Vambrace_Left,,false,false,,,,,,,,,,tags-only: item 3 tags[base:charcoal] ; not-in-dataset: item 1 [Base.SmallSheetMetal] ; not-in-dataset: item 2 [Base.LeatherStrips] mode:destroy ; not-in-dataset: item 2 [Base.Buckle] ; tags-only: item 1 tags[base:heavythread] ; not-in-dataset: item 1 Base.Vambrace_Left,item 3 tags[base:charcoal] | item 1 [Base.SmallSheetMetal] | item 2 [Base.LeatherStrips] mode:destroy | item 2 [Base.Buckle] | item 1 tags[base:smithinghammer] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:metalworkingpliers;base:tongs] mode:keep flags[Prop2;MayDegradeLight] | item 1 tags[base:sewingneedle] mode:keep flags[MayDegradeLight] | item 1 tags[base:awl] mode:keep flags[MayDegradeLight] | item 1 tags[base:heavythread],item 1 Base.Vambrace_Left,entities/blacksmith/craftRecipes/recipes_blacksmith_armor.txt,94
