recipe,resultItem,item,use,requiresCooked,spice,share0,kcal0,carbs0,lipids0,proteins0,share10,kcal10
BagelPlain,Base.BagelPlain,Base.CannedRoe_Open,2,false,false,0.2,30.0,0.0,2.2,2.8,0.14,35.0
BagelPlain,Base.BagelPlain,Base.CannedSardinesOpen,7,false,false,0.5,75.0,0.0,5.5,7.0,0.35,87.5
BagelPlain,Base.BagelPlain,Base.Caviar,2,false,false,0.2,30.0,0.0,2.2,2.8,0.14,35.0
BagelPlain,Base.BagelPlain,Base.Cheese,5,false,false,0.333333,37.666667,0.29,3.11,2.133333,0.233333,43.944444
BagelPlain,Base.BagelPlain,Base.Chives,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.ChivesDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Chocolate,5,false,false,0.25,212.5,27.5,16.5,2.5,0.175,247.916667
BagelPlain,Base.BagelPlain,Base.Chocolate_Butterchunkers,5,false,false,0.25,57.5,7.25,3.0,0.5,0.175,67.083333
BagelPlain,Base.BagelPlain,Base.Chocolate_Crackle,5,false,false,0.25,57.5,7.25,3.0,0.5,0.175,67.083333
BagelPlain,Base.BagelPlain,Base.Chocolate_Deux,5,false,false,0.25,62.5,8.5,3.0,0.5,0.175,72.916667
BagelPlain,Base.BagelPlain,Base.Chocolate_GalacticDairy,5,false,false,0.25,47.5,7.5,2.0,0.5,0.175,55.416667
BagelPlain,Base.BagelPlain,Base.Chocolate_HeartBox,5,false,false,0.125,212.5,27.5,16.25,2.5,0.0875,247.916667
BagelPlain,Base.BagelPlain,Base.Chocolate_RoysPBPucks,5,false,false,0.25,57.5,6.5,3.25,1.25,0.175,67.083333
BagelPlain,Base.BagelPlain,Base.Chocolate_Smirkers,5,false,false,0.25,70.0,8.75,3.5,1.0,0.175,81.666667
BagelPlain,Base.BagelPlain,Base.Chocolate_SnikSnak,5,false,false,0.25,57.5,7.25,3.0,0.75,0.175,67.083333
BagelPlain,Base.BagelPlain,Base.Cinnamon,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.FishRoe,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Garlic,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.GreenOnions,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Honey,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Icing,5,false,false,0.5,55.0,40.0,22.0,8.0,0.35,64.166667
BagelPlain,Base.BagelPlain,Base.JamFruit,3,false,false,0.1,55.0,13.0,0.0,0.1,0.07,64.166667
BagelPlain,Base.BagelPlain,Base.JamMarmalade,3,false,false,0.1,55.0,13.0,0.0,0.1,0.07,64.166667
BagelPlain,Base.BagelPlain,Base.Lard,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Margarine,4,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.OpenBeans,8,false,false,0.333333,56.666667,11.0,0.333333,2.333333,0.233333,66.111111
BagelPlain,Base.BagelPlain,Base.Oregano,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.OreganoDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Parsley,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.ParsleyDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.PeanutButter,5,false,false,0.2,532.0,25.6,44.8,16.8,0.14,620.666667
BagelPlain,Base.BagelPlain,Base.Processedcheese,5,false,false,1.0,70.0,0.0,6.0,4.0,0.7,81.666667
BagelPlain,Base.BagelPlain,Base.Rosemary,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.RosemaryDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Sage,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.SageDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Seasoning_Chives,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Seasoning_Oregano,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Seasoning_Parsley,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Seasoning_Rosemary,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Seasoning_Sage,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Seasoning_Thyme,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Sugar,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.SugarBrown,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.SugarCubes,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.SugarPacket,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.Thyme,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.ThymeDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.WildGarlic2,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.WildGarlicDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Avocado,8,false,false,0.5,113.5,5.875,10.48,1.335,0.35,132.416667
BagelPoppy,Base.BagelPoppy,Base.Bacon,4,true,false,0.333333,53.333333,0.0,4.666667,3.333333,0.233333,62.222222
BagelPoppy,Base.BagelPoppy,Base.BaconBits,1,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.BaconRashers,4,true,false,1.0,40.0,0.0,3.5,2.5,0.7,46.666667
BagelPoppy,Base.BagelPoppy,Base.BeanBowl,8,false,false,0.333333,56.666667,11.0,0.333333,2.333333,0.233333,66.111111
BagelPoppy,Base.BagelPoppy,Base.Butter,4,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.CannedRoe_Open,2,false,false,0.2,30.0,0.0,2.2,2.8,0.14,35.0
BagelPoppy,Base.BagelPoppy,Base.CannedSardinesOpen,7,false,false,0.5,75.0,0.0,5.5,7.0,0.35,87.5
BagelPoppy,Base.BagelPoppy,Base.Caviar,2,false,false,0.2,30.0,0.0,2.2,2.8,0.14,35.0
BagelPoppy,Base.BagelPoppy,Base.Cheese,5,false,false,0.333333,37.666667,0.29,3.11,2.133333,0.233333,43.944444
BagelPoppy,Base.BagelPoppy,Base.Chives,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.ChivesDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Chocolate,5,false,false,0.25,212.5,27.5,16.5,2.5,0.175,247.916667
BagelPoppy,Base.BagelPoppy,Base.Chocolate_Butterchunkers,5,false,false,0.25,57.5,7.25,3.0,0.5,0.175,67.083333
BagelPoppy,Base.BagelPoppy,Base.Chocolate_Crackle,5,false,false,0.25,57.5,7.25,3.0,0.5,0.175,67.083333
BagelPoppy,Base.BagelPoppy,Base.Chocolate_Deux,5,false,false,0.25,62.5,8.5,3.0,0.5,0.175,72.916667
BagelPoppy,Base.BagelPoppy,Base.Chocolate_GalacticDairy,5,false,false,0.25,47.5,7.5,2.0,0.5,0.175,55.416667
BagelPoppy,Base.BagelPoppy,Base.Chocolate_HeartBox,5,false,false,0.125,212.5,27.5,16.25,2.5,0.0875,247.916667
BagelPoppy,Base.BagelPoppy,Base.Chocolate_RoysPBPucks,5,false,false,0.25,57.5,6.5,3.25,1.25,0.175,67.083333
BagelPoppy,Base.BagelPoppy,Base.Chocolate_Smirkers,5,false,false,0.25,70.0,8.75,3.5,1.0,0.175,81.666667
BagelPoppy,Base.BagelPoppy,Base.Chocolate_SnikSnak,5,false,false,0.25,57.5,7.25,3.0,0.75,0.175,67.083333
BagelPoppy,Base.BagelPoppy,Base.Cinnamon,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.FishRoe,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Garlic,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.GreenOnions,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Honey,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Icing,5,false,false,0.5,55.0,40.0,22.0,8.0,0.35,64.166667
BagelPoppy,Base.BagelPoppy,Base.JamFruit,3,false,false,0.1,55.0,13.0,0.0,0.1,0.07,64.166667
BagelPoppy,Base.BagelPoppy,Base.JamMarmalade,3,false,false,0.1,55.0,13.0,0.0,0.1,0.07,64.166667
BagelPoppy,Base.BagelPoppy,Base.Lard,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Margarine,4,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.OpenBeans,8,false,false,0.333333,56.666667,11.0,0.333333,2.333333,0.233333,66.111111
BagelPoppy,Base.BagelPoppy,Base.Oregano,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.OreganoDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Parsley,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.ParsleyDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.PeanutButter,5,false,false,0.2,532.0,25.6,44.8,16.8,0.14,620.666667
BagelPoppy,Base.BagelPoppy,Base.Processedcheese,5,false,false,1.0,70.0,0.0,6.0,4.0,0.7,81.666667
BagelPoppy,Base.BagelPoppy,Base.Rosemary,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.RosemaryDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Sage,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.SageDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Seasoning_Chives,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Seasoning_Oregano,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Seasoning_Parsley,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Seasoning_Rosemary,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Seasoning_Sage,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Seasoning_Thyme,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Sugar,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.SugarBrown,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.SugarCubes,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.SugarPacket,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.Thyme,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.ThymeDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.WildGarlic2,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPoppy,Base.BagelPoppy,Base.WildGarlicDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Avocado,8,false,false,0.5,113.5,5.875,10.48,1.335,0.35,132.416667
BagelSesame,Base.BagelSesame,Base.Bacon,4,true,false,0.333333,53.333333,0.0,4.666667,3.333333,0.233333,62.222222
BagelSesame,Base.BagelSesame,Base.BaconBits,1,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.BaconRashers,4,true,false,1.0,40.0,0.0,3.5,2.5,0.7,46.666667
BagelSesame,Base.BagelSesame,Base.BeanBowl,8,false,false,0.333333,56.666667,11.0,0.333333,2.333333,0.233333,66.111111
BagelSesame,Base.BagelSesame,Base.Butter,4,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.CannedRoe_Open,2,false,false,0.2,30.0,0.0,2.2,2.8,0.14,35.0
BagelSesame,Base.BagelSesame,Base.CannedSardinesOpen,7,false,false,0.5,75.0,0.0,5.5,7.0,0.35,87.5
BagelSesame,Base.BagelSesame,Base.Caviar,2,false,false,0.2,30.0,0.0,2.2,2.8,0.14,35.0
BagelSesame,Base.BagelSesame,Base.Cheese,5,false,false,0.333333,37.666667,0.29,3.11,2.133333,0.233333,43.944444
BagelSesame,Base.BagelSesame,Base.Chives,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.ChivesDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Chocolate,5,false,false,0.25,212.5,27.5,16.5,2.5,0.175,247.916667
BagelSesame,Base.BagelSesame,Base.Chocolate_Butterchunkers,5,false,false,0.25,57.5,7.25,3.0,0.5,0.175,67.083333
BagelSesame,Base.BagelSesame,Base.Chocolate_Crackle,5,false,false,0.25,57.5,7.25,3.0,0.5,0.175,67.083333
BagelSesame,Base.BagelSesame,Base.Chocolate_Deux,5,false,false,0.25,62.5,8.5,3.0,0.5,0.175,72.916667
BagelSesame,Base.BagelSesame,Base.Chocolate_GalacticDairy,5,false,false,0.25,47.5,7.5,2.0,0.5,0.175,55.416667
BagelSesame,Base.BagelSesame,Base.Chocolate_HeartBox,5,false,false,0.125,212.5,27.5,16.25,2.5,0.0875,247.916667
BagelSesame,Base.BagelSesame,Base.Chocolate_RoysPBPucks,5,false,false,0.25,57.5,6.5,3.25,1.25,0.175,67.083333
BagelSesame,Base.BagelSesame,Base.Chocolate_Smirkers,5,false,false,0.25,70.0,8.75,3.5,1.0,0.175,81.666667
BagelSesame,Base.BagelSesame,Base.Chocolate_SnikSnak,5,false,false,0.25,57.5,7.25,3.0,0.75,0.175,67.083333
BagelSesame,Base.BagelSesame,Base.Cinnamon,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.FishRoe,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Garlic,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.GreenOnions,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Honey,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Icing,5,false,false,0.5,55.0,40.0,22.0,8.0,0.35,64.166667
BagelSesame,Base.BagelSesame,Base.JamFruit,3,false,false,0.1,55.0,13.0,0.0,0.1,0.07,64.166667
BagelSesame,Base.BagelSesame,Base.JamMarmalade,3,false,false,0.1,55.0,13.0,0.0,0.1,0.07,64.166667
BagelSesame,Base.BagelSesame,Base.Lard,2,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Margarine,4,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.OpenBeans,8,false,false,0.333333,56.666667,11.0,0.333333,2.333333,0.233333,66.111111
BagelSesame,Base.BagelSesame,Base.Oregano,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.OreganoDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Parsley,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.ParsleyDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.PeanutButter,5,false,false,0.2,532.0,25.6,44.8,16.8,0.14,620.666667
BagelSesame,Base.BagelSesame,Base.Processedcheese,5,false,false,1.0,70.0,0.0,6.0,4.0,0.7,81.666667
BagelSesame,Base.BagelSesame,Base.Rosemary,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.RosemaryDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Sage,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.SageDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Seasoning_Chives,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Seasoning_Oregano,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Seasoning_Parsley,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Seasoning_Rosemary,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Seasoning_Sage,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Seasoning_Thyme,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Sugar,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.SugarBrown,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.SugarCubes,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.SugarPacket,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.Thyme,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.ThymeDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.WildGarlic2,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelSesame,Base.BagelSesame,Base.WildGarlicDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bread,Base.BreadDough,Base.Acorn,10,false,false,1.0,55.0,12.0,24.0,6.0,0.7,64.166667
Bread,Base.BreadDough,Base.Banana,16,false,false,1.0,105.0,26.95,0.39,1.29,0.7,122.5
Bread,Base.BreadDough,Base.Basil,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bread,Base.BreadDough,Base.BasilDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bread,Base.BreadDough,Base.Cheese,5,false,false,0.333333,37.666667,0.29,3.11,2.133333,0.233333,43.944444
Bread,Base.BreadDough,Base.Chives,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bread,Base.BreadDough,Base.ChivesDried,1,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bread,Base.BreadDough,Base.Chocolate,10,false,false,0.5,425.0,55.0,33.0,5.0,0.35,495.833333
Bread,Base.BreadDough,Base.ChocolateChips,6,false,false,1.0,50.0,17.0,8.0,1.0,0.7,58.333333
Bread,Base.BreadDough,Base.Chocolate_Butterchunkers,10,false,false,0.5,115.0,14.5,6.0,1.0,0.35,134.166667
Bread,Base.BreadDough,Base.Chocolate_Crackle,10,false,false,0.5,115.0,14.5,6.0,1.0,0.35,134.166667
Bread,Base.BreadDough,Base.Chocolate_Deux,10,false,false,0.5,125.0,17.0,6.0,1.0,0.35,145.833333
